Gnucap 2009.12.07 RCS 26.136
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2009, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
******************************************************************************** 
#Freq       VDB(R3)    VDB(2)     VP(R3)     VP(2)     
 500.      -47.135    -12.726E-6  1.5668     360.76E-6 
 500.12    -47.133    -12.726E-6  1.5668     360.67E-6 
 500.23    -47.131    -12.726E-6  1.5668     360.59E-6 
 500.35    -47.129    -12.725E-6  1.5668     360.51E-6 
 500.46    -47.127    -12.725E-6  1.5668     360.42E-6 
 500.58    -47.125    -12.725E-6  1.5668     360.34E-6 
 500.69    -47.123    -12.725E-6  1.5668     360.26E-6 
 500.81    -47.121    -12.724E-6  1.5668     360.18E-6 
 500.92    -47.119    -12.724E-6  1.5668     360.09E-6 
 501.04    -47.117    -12.724E-6  1.5667     360.01E-6 
 501.15    -47.115    -12.724E-6  1.5667     359.93E-6 
 501.27    -47.113    -12.723E-6  1.5667     359.84E-6 
 501.38    -47.111    -12.723E-6  1.5667     359.76E-6 
 501.5     -47.109    -12.723E-6  1.5667     359.68E-6 
 501.61    -47.107    -12.723E-6  1.5667     359.6E-6  
 501.73    -47.105    -12.722E-6  1.5667     359.51E-6 
 501.85    -47.103    -12.722E-6  1.5667     359.43E-6 
 501.96    -47.101    -12.722E-6  1.5667     359.35E-6 
 502.08    -47.099    -12.722E-6  1.5667     359.26E-6 
 502.19    -47.097    -12.721E-6  1.5667     359.18E-6 
 502.31    -47.095    -12.721E-6  1.5667     359.1E-6  
 502.42    -47.093    -12.721E-6  1.5667     359.02E-6 
 502.54    -47.091    -12.721E-6  1.5667     358.93E-6 
 502.65    -47.089    -12.72E-6   1.5667     358.85E-6 
 502.77    -47.087    -12.72E-6   1.5667     358.77E-6 
 502.89    -47.085    -12.72E-6   1.5667     358.69E-6 
 503.      -47.083    -12.719E-6  1.5667     358.6E-6  
 503.12    -47.081    -12.719E-6  1.5667     358.52E-6 
 503.23    -47.079    -12.719E-6  1.5667     358.44E-6 
 503.35    -47.077    -12.719E-6  1.5667     358.36E-6 
 503.47    -47.075    -12.718E-6  1.5667     358.27E-6 
 503.58    -47.073    -12.718E-6  1.5667     358.19E-6 
 503.7     -47.071    -12.718E-6  1.5667     358.11E-6 
 503.81    -47.069    -12.718E-6  1.5667     358.03E-6 
 503.93    -47.067    -12.717E-6  1.5667     357.94E-6 
 504.05    -47.065    -12.717E-6  1.5667     357.86E-6 
 504.16    -47.063    -12.717E-6  1.5667     357.78E-6 
 504.28    -47.061    -12.717E-6  1.5667     357.7E-6  
 504.39    -47.059    -12.716E-6  1.5667     357.61E-6 
 504.51    -47.057    -12.716E-6  1.5667     357.53E-6 
 504.63    -47.055    -12.716E-6  1.5667     357.45E-6 
 504.74    -47.053    -12.716E-6  1.5667     357.37E-6 
 504.86    -47.051    -12.715E-6  1.5667     357.28E-6 
 504.98    -47.049    -12.715E-6  1.5667     357.2E-6  
 505.09    -47.047    -12.715E-6  1.5667     357.12E-6 
 505.21    -47.045    -12.715E-6  1.5667     357.04E-6 
 505.32    -47.043    -12.714E-6  1.5667     356.96E-6 
 505.44    -47.041    -12.714E-6  1.5667     356.87E-6 
 505.56    -47.039    -12.714E-6  1.5667     356.79E-6 
 505.67    -47.037    -12.714E-6  1.5667     356.71E-6 
 505.79    -47.035    -12.713E-6  1.5667     356.63E-6 
 505.91    -47.033    -12.713E-6  1.5667     356.55E-6 
 506.02    -47.031    -12.713E-6  1.5667     356.46E-6 
 506.14    -47.029    -12.713E-6  1.5667     356.38E-6 
 506.26    -47.027    -12.712E-6  1.5667     356.3E-6  
 506.37    -47.025    -12.712E-6  1.5667     356.22E-6 
 506.49    -47.023    -12.712E-6  1.5667     356.14E-6 
 506.61    -47.021    -12.712E-6  1.5667     356.05E-6 
 506.72    -47.019    -12.711E-6  1.5667     355.97E-6 
 506.84    -47.017    -12.711E-6  1.5667     355.89E-6 
 506.96    -47.015    -12.711E-6  1.5667     355.81E-6 
 507.07    -47.013    -12.711E-6  1.5667     355.73E-6 
 507.19    -47.011    -12.71E-6   1.5667     355.64E-6 
 507.31    -47.009    -12.71E-6   1.5667     355.56E-6 
 507.42    -47.007    -12.71E-6   1.5667     355.48E-6 
 507.54    -47.005    -12.71E-6   1.5667     355.4E-6  
 507.66    -47.003    -12.709E-6  1.5667     355.32E-6 
 507.77    -47.001    -12.709E-6  1.5667     355.23E-6 
 507.89    -46.999    -12.709E-6  1.5667     355.15E-6 
 508.01    -46.997    -12.709E-6  1.5667     355.07E-6 
 508.12    -46.995    -12.708E-6  1.5667     354.99E-6 
 508.24    -46.993    -12.708E-6  1.5667     354.91E-6 
 508.36    -46.991    -12.708E-6  1.5667     354.83E-6 
 508.48    -46.989    -12.708E-6  1.5667     354.74E-6 
 508.59    -46.987    -12.707E-6  1.5667     354.66E-6 
 508.71    -46.985    -12.707E-6  1.5667     354.58E-6 
 508.83    -46.983    -12.707E-6  1.5667     354.5E-6  
 508.94    -46.981    -12.707E-6  1.5667     354.42E-6 
 509.06    -46.979    -12.706E-6  1.5667     354.34E-6 
 509.18    -46.977    -12.706E-6  1.5667     354.25E-6 
 509.3     -46.975    -12.706E-6  1.5667     354.17E-6 
 509.41    -46.973    -12.705E-6  1.5667     354.09E-6 
 509.53    -46.971    -12.705E-6  1.5667     354.01E-6 
 509.65    -46.969    -12.705E-6  1.5667     353.93E-6 
 509.76    -46.967    -12.705E-6  1.5667     353.85E-6 
 509.88    -46.965    -12.704E-6  1.5667     353.77E-6 
 510.      -46.963    -12.704E-6  1.5667     353.68E-6 
 510.12    -46.961    -12.704E-6  1.5667     353.6E-6  
 510.23    -46.959    -12.704E-6  1.5667     353.52E-6 
 510.35    -46.957    -12.703E-6  1.5667     353.44E-6 
 510.47    -46.955    -12.703E-6  1.5667     353.36E-6 
 510.59    -46.953    -12.703E-6  1.5667     353.28E-6 
 510.7     -46.951    -12.703E-6  1.5667     353.2E-6  
 510.82    -46.949    -12.702E-6  1.5667     353.11E-6 
 510.94    -46.947    -12.702E-6  1.5667     353.03E-6 
 511.06    -46.945    -12.702E-6  1.5667     352.95E-6 
 511.18    -46.943    -12.702E-6  1.5667     352.87E-6 
 511.29    -46.941    -12.701E-6  1.5667     352.79E-6 
 511.41    -46.939    -12.701E-6  1.5667     352.71E-6 
 511.53    -46.937    -12.701E-6  1.5666     352.63E-6 
 511.65    -46.935    -12.701E-6  1.5666     352.55E-6 
 511.76    -46.933    -12.701E-6  1.5666     352.46E-6 
 511.88    -46.931    -12.7E-6    1.5666     352.38E-6 
 512.      -46.929    -12.7E-6    1.5666     352.3E-6  
 512.12    -46.927    -12.7E-6    1.5666     352.22E-6 
 512.24    -46.925    -12.7E-6    1.5666     352.14E-6 
 512.35    -46.923    -12.699E-6  1.5666     352.06E-6 
 512.47    -46.921    -12.699E-6  1.5666     351.98E-6 
 512.59    -46.919    -12.699E-6  1.5666     351.9E-6  
 512.71    -46.917    -12.699E-6  1.5666     351.82E-6 
 512.83    -46.915    -12.698E-6  1.5666     351.73E-6 
 512.94    -46.913    -12.698E-6  1.5666     351.65E-6 
 513.06    -46.911    -12.698E-6  1.5666     351.57E-6 
 513.18    -46.909    -12.698E-6  1.5666     351.49E-6 
 513.3     -46.907    -12.697E-6  1.5666     351.41E-6 
 513.42    -46.905    -12.697E-6  1.5666     351.33E-6 
 513.53    -46.903    -12.697E-6  1.5666     351.25E-6 
 513.65    -46.901    -12.697E-6  1.5666     351.17E-6 
 513.77    -46.899    -12.696E-6  1.5666     351.09E-6 
 513.89    -46.897    -12.696E-6  1.5666     351.01E-6 
 514.01    -46.895    -12.696E-6  1.5666     350.93E-6 
 514.13    -46.893    -12.696E-6  1.5666     350.84E-6 
